individual,species,lab,sex,age,condition,round,range,urban_habitat,adult_sociality,caching,source,live_hunting,flock_size,touch,latency
AL177,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,31
AL177,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,153
AL180,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,44
AL180,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,16
AL180,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,17
AL180,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL180,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL180,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL182,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,39
AL182,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,0,600
AL182,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,178
AL182,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL182,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL182,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL183,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,39
AL183,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,69
AL183,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,286
AL183,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL183,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL183,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL184,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,63
AL184,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,48
AL184,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,29
AL184,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL184,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL184,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,353
AL185,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,208
AL185,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,42
AL185,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,53
AL185,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL185,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL185,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL186,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,120
AL186,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,0,600
AL186,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,362
AL186,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL186,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL186,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
